POT Value 1,POT Value 2,Gesture,Iteration
44186,30519,flex,2
44506,30295,flex,2
44746,30119,flex,2
44970,30279,flex,2
44218,30039,flex,2
44906,30903,flex,2
44330,30167,flex,2
45067,29783,flex,2
45115,30695,flex,2
44906,30119,flex,2
44218,29463,flex,2
44474,30535,flex,2
44346,30071,flex,2
44906,30455,flex,2
44490,30567,flex,2
45099,30119,flex,2
44442,29895,flex,2
44698,30599,flex,2
44570,29863,flex,2
45371,30631,flex,2
44826,30679,flex,2
44570,30087,flex,2
44538,29063,flex,2
44458,30407,flex,2
44522,30039,flex,2
44570,30679,flex,2
45211,30471,flex,2
44586,29991,flex,2
44170,29383,flex,2
44842,31095,flex,2
44282,28646,flex,2
44330,30391,flex,2
45067,30967,flex,2
45002,30119,flex,2
44698,30407,flex,2
44794,30311,flex,2
44842,28983,flex,2
44570,30183,flex,2
44602,30935,flex,2
44714,30375,flex,2
44474,29751,flex,2
44282,29591,flex,2
44938,30807,flex,2
44362,29207,flex,2
44762,30583,flex,2
45243,30391,flex,2
44730,30375,flex,2
44330,29511,flex,2
44458,30343,flex,2
44938,30359,flex,2
44874,30135,flex,2
45002,30855,flex,2
44714,30055,flex,2
45083,30519,flex,2
44778,30183,flex,2
44682,30439,flex,2
44298,30311,flex,2
45147,30887,flex,2
45067,30887,flex,2
44346,29799,flex,2
44122,28967,flex,2
44586,30567,flex,2
44554,30023,flex,2
44954,30871,flex,2
45083,30439,flex,2
44570,30135,flex,2
44570,29895,flex,2
44282,30631,flex,2
44714,30487,flex,2
44522,29799,flex,2
45067,31047,flex,2
45307,30519,flex,2
44570,28006,flex,2
45067,30135,flex,2
44570,30215,flex,2
44586,31015,flex,2
44874,29895,flex,2
44858,30103,flex,2
44170,29031,flex,2
44474,30503,flex,2
44314,29703,flex,2
44362,30743,flex,2
44858,30631,flex,2
44986,30039,flex,2
44266,29719,flex,2
44874,29895,flex,2
44346,30199,flex,2
44586,30279,flex,2
44538,30743,flex,2
44762,30023,flex,2
44570,30183,flex,2
44202,29767,flex,2
44762,30231,flex,2
44266,29959,flex,2
44538,31239,flex,2
44586,30295,flex,2
44858,30615,flex,2
44506,30039,flex,2
44906,28679,flex,2
44074,30311,flex,2
