Iteration,Gesture,AVG POT VALUE 1,AVG POT VALUE 2
3,rotate,46083.65,30542.15
3,rotate,46527.0,31011.0
3,rotate,46475.8,30899.0
3,rotate,46563.0,30416.65
4,rotate,46707.8,29891.6
4,rotate,46606.2,29554.8
4,rotate,46639.0,29059.4
4,rotate,46683.0,30951.85
4,rotate,46792.6,30137.3
4,rotate,46620.6,29806.8
4,rotate,46703.0,29961.25
4,rotate,46687.8,30095.6
4,rotate,46643.0,29551.55
4,rotate,46623.0,30743.8
4,rotate,46650.2,30914.3
4,rotate,46705.4,30296.5
4,rotate,46526.2,28759.4
4,rotate,46627.0,30244.5
5,rotate,46554.2,30391.7
5,rotate,46555.8,30675.1
5,rotate,46560.6,30699.05
5,rotate,46570.2,29853.3
5,rotate,46549.4,30631.85
5,rotate,46593.4,30967.0
5,rotate,46591.0,29682.0
5,rotate,46595.8,30273.3
5,rotate,46579.8,30887.1
5,rotate,46585.4,30659.0
5,rotate,46574.2,30463.15
5,rotate,46568.6,29680.3
5,rotate,46651.0,32201.75
6,rotate,46232.6,29846.9
6,rotate,46205.4,29345.75
6,rotate,46271.0,30356.55
6,rotate,46435.0,31455.2
6,rotate,46501.4,29723.6
6,rotate,46507.8,29852.4
6,rotate,46495.8,30543.0
6,rotate,46630.2,30787.8
6,rotate,46509.4,30694.15
6,rotate,46542.2,30518.15
6,rotate,46548.6,30386.05
6,rotate,46559.0,29929.2
6,rotate,46555.8,29979.6
6,rotate,46599.0,31217.55
7,rotate,46699.8,30746.9
7,rotate,46647.8,29949.2
7,rotate,46659.0,29930.85
7,rotate,46767.8,30360.55
7,rotate,46727.8,30239.7
7,rotate,46639.8,30407.75
7,rotate,46716.6,31471.95
7,rotate,46625.4,30233.25
7,rotate,46568.6,29718.7
7,rotate,46538.2,30596.55
7,rotate,46643.8,30860.6
7,rotate,46651.0,30092.5
7,rotate,46629.4,29386.75
7,rotate,46575.0,29427.45
8,rotate,46243.0,30728.6
8,rotate,46191.8,29260.9
8,rotate,46084.6,31108.8
8,rotate,46092.55,31052.7
8,rotate,46096.55,29854.85
8,rotate,46099.0,30025.15
8,rotate,45982.95,29654.8
8,rotate,45797.25,30074.05
8,rotate,45760.45,30561.4
8,rotate,45473.9,29515.4
8,rotate,45557.9,30993.5
8,rotate,45407.45,29473.95
8,rotate,45251.35,29157.05
9,rotate,46083.0,29815.5
9,rotate,46148.6,30687.7
9,rotate,46183.8,30250.85
9,rotate,46300.6,29586.7
9,rotate,46338.2,29995.55
9,rotate,46501.4,30578.9
9,rotate,46539.8,29921.2
9,rotate,46493.4,30377.25
9,rotate,46597.4,31015.05
9,rotate,46513.4,30197.95
9,rotate,46595.0,29669.9
9,rotate,46579.8,30310.05
